*******************************************************************************
 Revised: July 31, 2013                  Sun                                 10

 PHYSICAL PROPERTIES (updated 2018-Aug-15):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988500
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU)    = 696000 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.

  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Jan  8 06:02:04 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Jan-08 00:00:00.0000 UT      
Stop  time      : A.D. 2022-Feb-07 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 301.500100,-34.333200,1.059E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 301.500100,5272.50139,-3577.028 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.220106.p220401                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-JAN-06. PREDICTS-> 2022-MAR-31
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , ,Azi_(a-app), Elev_(a-app),
 2022-Jan-14 06:55, , , 137.108071,   -20.966142,
 2022-Jan-14 07:00, , , 136.120778,   -20.257781,
 2022-Jan-14 07:05, , , 135.148536,   -19.536694,
 2022-Jan-14 07:10, , , 134.191091,   -18.803282,
 2022-Jan-14 07:15, , , 133.248178,   -18.057935,
 2022-Jan-14 07:20,A, , 132.319516,   -17.301034,
 2022-Jan-14 07:25,A, , 131.404815,   -16.532951,
 2022-Jan-14 07:30,A, , 130.503775,   -15.754049,
 2022-Jan-14 07:35,A, , 129.616089,   -14.964678,
 2022-Jan-14 07:40,A, , 128.741442,   -14.165182,
 2022-Jan-14 07:45,A, , 127.879512,   -13.355894,
 2022-Jan-14 07:50,A, , 127.029977,   -12.537137,
 2022-Jan-14 07:55,N, , 126.192507,   -11.709225,
 2022-Jan-14 08:00,N, , 125.366770,   -10.872464,
 2022-Jan-14 08:05,N, , 124.552435,   -10.027148,
 2022-Jan-14 08:10,N, , 123.749165,    -9.173565,
 2022-Jan-14 08:15,N, , 122.956627,    -8.311993,
 2022-Jan-14 08:20,N, , 122.174484,    -7.442701,
 2022-Jan-14 08:25,N, , 121.402402,    -6.565951,
 2022-Jan-14 08:30,C, , 120.640045,    -5.681996,
 2022-Jan-14 08:35,C, , 119.887079,    -4.791082,
 2022-Jan-14 08:40,C, , 119.143172,    -3.893445,
 2022-Jan-14 08:45,C, , 118.407993,    -2.989317,
 2022-Jan-14 08:50,C, , 117.681210,    -2.078920,
 2022-Jan-14 08:55,C, , 116.962495,    -1.162471,
 2022-Jan-14 09:00,*,r, 116.251521,    -0.240180,
 2022-Jan-14 09:05,*, , 115.547961,     0.687750,
 2022-Jan-14 09:10,*, , 114.851492,     1.621122,
 2022-Jan-14 09:15,*, , 114.161790,     2.559745,
 2022-Jan-14 09:20,*, , 113.478532,     3.503432,
 2022-Jan-14 09:25,*, , 112.801397,     4.452006,
 2022-Jan-14 09:30,*, , 112.130066,     5.405289,
 2022-Jan-14 09:35,*, , 111.464216,     6.363113,
 2022-Jan-14 09:40,*, , 110.803529,     7.325313,
 2022-Jan-14 09:45,*, , 110.147684,     8.291727,
 2022-Jan-14 09:50,*, , 109.496361,     9.262200,
 2022-Jan-14 09:55,*, , 108.849236,    10.236580,
 2022-Jan-14 10:00,*, , 108.205988,    11.214717,
 2022-Jan-14 10:05,*, , 107.566291,    12.196468,
 2022-Jan-14 10:10,*, , 106.929817,    13.181691,
 2022-Jan-14 10:15,*, , 106.296236,    14.170248,
 2022-Jan-14 10:20,*, , 105.665214,    15.162005,
 2022-Jan-14 10:25,*, , 105.036412,    16.156828,
 2022-Jan-14 10:30,*, , 104.409487,    17.154588,
 2022-Jan-14 10:35,*, , 103.784090,    18.155158,
 2022-Jan-14 10:40,*, , 103.159866,    19.158412,
 2022-Jan-14 10:45,*, , 102.536451,    20.164227,
 2022-Jan-14 10:50,*, , 101.913475,    21.172481,
 2022-Jan-14 10:55,*, , 101.290557,    22.183054,
 2022-Jan-14 11:00,*, , 100.667306,    23.195827,
 2022-Jan-14 11:05,*, , 100.043319,    24.210682,
 2022-Jan-14 11:10,*, ,  99.418180,    25.227501,
 2022-Jan-14 11:15,*, ,  98.791459,    26.246167,
 2022-Jan-14 11:20,*, ,  98.162710,    27.266563,
 2022-Jan-14 11:25,*, ,  97.531470,    28.288572,
 2022-Jan-14 11:30,*, ,  96.897254,    29.312077,
 2022-Jan-14 11:35,*, ,  96.259559,    30.336960,
 2022-Jan-14 11:40,*, ,  95.617856,    31.363100,
 2022-Jan-14 11:45,*, ,  94.971591,    32.390377,
 2022-Jan-14 11:50,*, ,  94.320179,    33.418668,
 2022-Jan-14 11:55,*, ,  93.663007,    34.447848,
 2022-Jan-14 12:00,*, ,  92.999423,    35.477789,
 2022-Jan-14 12:05,*, ,  92.328740,    36.508360,
 2022-Jan-14 12:10,*, ,  91.650226,    37.539425,
 2022-Jan-14 12:15,*, ,  90.963104,    38.570845,
 2022-Jan-14 12:20,*, ,  90.266543,    39.602474,
 2022-Jan-14 12:25,*, ,  89.559657,    40.634163,
 2022-Jan-14 12:30,*, ,  88.841495,    41.665752,
 2022-Jan-14 12:35,*, ,  88.111037,    42.697078,
 2022-Jan-14 12:40,*, ,  87.367185,    43.727965,
 2022-Jan-14 12:45,*, ,  86.608755,    44.758231,
 2022-Jan-14 12:50,*, ,  85.834467,    45.787678,
 2022-Jan-14 12:55,*, ,  85.042934,    46.816100,
 2022-Jan-14 13:00,*, ,  84.232651,    47.843274,
 2022-Jan-14 13:05,*, ,  83.401982,    48.868960,
 2022-Jan-14 13:10,*, ,  82.549141,    49.892903,
 2022-Jan-14 13:15,*, ,  81.672179,    50.914822,
 2022-Jan-14 13:20,*, ,  80.768961,    51.934417,
 2022-Jan-14 13:25,*, ,  79.837146,    52.951357,
 2022-Jan-14 13:30,*, ,  78.874159,    53.965282,
 2022-Jan-14 13:35,*, ,  77.877166,    54.975797,
 2022-Jan-14 13:40,*, ,  76.843037,    55.982466,
 2022-Jan-14 13:45,*, ,  75.768313,    56.984806,
 2022-Jan-14 13:50,*, ,  74.649160,    57.982283,
 2022-Jan-14 13:55,*, ,  73.481327,    58.974300,
 2022-Jan-14 14:00,*, ,  72.260087,    59.960193,
 2022-Jan-14 14:05,*, ,  70.980183,    60.939215,
 2022-Jan-14 14:10,*, ,  69.635755,    61.910525,
 2022-Jan-14 14:15,*, ,  68.220273,    62.873177,
 2022-Jan-14 14:20,*, ,  66.726450,    63.826096,
 2022-Jan-14 14:25,*, ,  65.146165,    64.768064,
 2022-Jan-14 14:30,*, ,  63.470364,    65.697695,
 2022-Jan-14 14:35,*, ,  61.688982,    66.613405,
 2022-Jan-14 14:40,*, ,  59.790851,    67.513383,
 2022-Jan-14 14:45,*, ,  57.763647,    68.395558,
 2022-Jan-14 14:50,*, ,  55.593848,    69.257553,
 2022-Jan-14 14:55,*, ,  53.266762,    70.096644,
 2022-Jan-14 15:00,*, ,  50.766635,    70.909712,
 2022-Jan-14 15:05,*, ,  48.076890,    71.693195,
 2022-Jan-14 15:10,*, ,  45.180544,    72.443040,
 2022-Jan-14 15:15,*, ,  42.060889,    73.154667,
 2022-Jan-14 15:20,*, ,  38.702480,    73.822951,
 2022-Jan-14 15:25,*, ,  35.092526,    74.442226,
 2022-Jan-14 15:30,*, ,  31.222682,    75.006349,
 2022-Jan-14 15:35,*, ,  27.091216,    75.508812,
 2022-Jan-14 15:40,*, ,  22.705362,    75.942946,
 2022-Jan-14 15:45,*, ,  18.083520,    76.302201,
 2022-Jan-14 15:50,*, ,  13.256805,    76.580523,
 2022-Jan-14 15:55,*, ,   8.269337,    76.772770,
 2022-Jan-14 16:00,*, ,   3.176798,    76.875136,
 2022-Jan-14 16:05,*,t, 358.043098,    76.885506,
 2022-Jan-14 16:10,*, , 352.935520,    76.803659,
 2022-Jan-14 16:15,*, , 347.919198,    76.631297,
 2022-Jan-14 16:20,*, , 343.052021,    76.371868,
 2022-Jan-14 16:25,*, , 338.380905,    76.030249,
 2022-Jan-14 16:30,*, , 333.939922,    75.612325,
 2022-Jan-14 16:35,*, , 329.750236,    75.124567,
 2022-Jan-14 16:40,*, , 325.821418,    74.573646,
 2022-Jan-14 16:45,*, , 322.153545,    73.966125,
 2022-Jan-14 16:50,*, , 318.739563,    73.308243,
 2022-Jan-14 16:55,*, , 315.567511,    72.605778,
 2022-Jan-14 17:00,*, , 312.622405,    71.863978,
 2022-Jan-14 17:05,*, , 309.887722,    71.087547,
 2022-Jan-14 17:10,*, , 307.346473,    70.280651,
 2022-Jan-14 17:15,*, , 304.981943,    69.446959,
 2022-Jan-14 17:20,*, , 302.778167,    68.589687,
 2022-Jan-14 17:25,*, , 300.720200,    67.711642,
 2022-Jan-14 17:30,*, , 298.794255,    66.815274,
 2022-Jan-14 17:35,*, , 296.987736,    65.902722,
 2022-Jan-14 17:40,*, , 295.289222,    64.975849,
 2022-Jan-14 17:45,*, , 293.688406,    64.036289,
 2022-Jan-14 17:50,*, , 292.176013,    63.085469,
 2022-Jan-14 17:55,*, , 290.743720,    62.124643,
 2022-Jan-14 18:00,*, , 289.384061,    61.154916,
 2022-Jan-14 18:05,*, , 288.090342,    60.177261,
 2022-Jan-14 18:10,*, , 286.856560,    59.192542,
 2022-Jan-14 18:15,*, , 285.677326,    58.201525,
 2022-Jan-14 18:20,*, , 284.547802,    57.204892,
 2022-Jan-14 18:25,*, , 283.463632,    56.203254,
 2022-Jan-14 18:30,*, , 282.420894,    55.197158,
 2022-Jan-14 18:35,*, , 281.416049,    54.187099,
 2022-Jan-14 18:40,*, , 280.445896,    53.173520,
 2022-Jan-14 18:45,*, , 279.507536,    52.156828,
 2022-Jan-14 18:50,*, , 278.598341,    51.137389,
 2022-Jan-14 18:55,*, , 277.715917,    50.115539,
 2022-Jan-14 19:00,*, , 276.858086,    49.091586,
 2022-Jan-14 19:05,*, , 276.022859,    48.065813,
 2022-Jan-14 19:10,*, , 275.208415,    47.038483,
 2022-Jan-14 19:15,*, , 274.413085,    46.009837,
 2022-Jan-14 19:20,*, , 273.635337,    44.980102,
 2022-Jan-14 19:25,*, , 272.873757,    43.949488,
 2022-Jan-14 19:30,*, , 272.127043,    42.918194,
 2022-Jan-14 19:35,*, , 271.393991,    41.886406,
 2022-Jan-14 19:40,*, , 270.673483,    40.854299,
 2022-Jan-14 19:45,*, , 269.964483,    39.822041,
 2022-Jan-14 19:50,*, , 269.266024,    38.789790,
 2022-Jan-14 19:55,*, , 268.577207,    37.757700,
 2022-Jan-14 20:00,*, , 267.897190,    36.725915,
 2022-Jan-14 20:05,*, , 267.225182,    35.694577,
 2022-Jan-14 20:10,*, , 266.560443,    34.663821,
 2022-Jan-14 20:15,*, , 265.902275,    33.633780,
 2022-Jan-14 20:20,*, , 265.250021,    32.604581,
 2022-Jan-14 20:25,*, , 264.603056,    31.576350,
 2022-Jan-14 20:30,*, , 263.960791,    30.549210,
 2022-Jan-14 20:35,*, , 263.322665,    29.523282,
 2022-Jan-14 20:40,*, , 262.688144,    28.498687,
 2022-Jan-14 20:45,*, , 262.056718,    27.475541,
 2022-Jan-14 20:50,*,m, 261.427899,    26.453962,
 2022-Jan-14 20:55,*,m, 260.801220,    25.434067,
 2022-Jan-14 21:00,*,m, 260.176229,    24.415973,
 2022-Jan-14 21:05,*,m, 259.552494,    23.399797,
 2022-Jan-14 21:10,*,m, 258.929595,    22.385654,
 2022-Jan-14 21:15,*,m, 258.307127,    21.373664,
 2022-Jan-14 21:20,*,m, 257.684696,    20.363944,
 2022-Jan-14 21:25,*,m, 257.061919,    19.356614,
 2022-Jan-14 21:30,*,m, 256.438423,    18.351795,
 2022-Jan-14 21:35,*,m, 255.813842,    17.349610,
 2022-Jan-14 21:40,*,m, 255.187820,    16.350183,
 2022-Jan-14 21:45,*,m, 254.560006,    15.353641,
 2022-Jan-14 21:50,*,m, 253.930055,    14.360113,
 2022-Jan-14 21:55,*,m, 253.297627,    13.369729,
 2022-Jan-14 22:00,*,m, 252.662386,    12.382624,
 2022-Jan-14 22:05,*,m, 252.024003,    11.398935,
 2022-Jan-14 22:10,*,m, 251.382147,    10.418801,
 2022-Jan-14 22:15,*,m, 250.736492,     9.442367,
 2022-Jan-14 22:20,*,m, 250.086715,     8.469778,
 2022-Jan-14 22:25,*,m, 249.432493,     7.501188,
 2022-Jan-14 22:30,*,m, 248.773504,     6.536749,
 2022-Jan-14 22:35,*,m, 248.109427,     5.576621,
 2022-Jan-14 22:40,*,m, 247.439941,     4.620968,
 2022-Jan-14 22:45,*,m, 246.764725,     3.669958,
 2022-Jan-14 22:50,*,m, 246.083459,     2.723764,
 2022-Jan-14 22:55,*,m, 245.395819,     1.782565,
 2022-Jan-14 23:00,*,m, 244.701483,     0.846544,
 2022-Jan-14 23:05,*,m, 244.000127,    -0.084109,
 2022-Jan-14 23:10,C,s, 243.291426,    -1.009198,
 2022-Jan-14 23:15,C,m, 242.575052,    -1.928523,
 2022-Jan-14 23:20,C,m, 241.850677,    -2.841875,
 2022-Jan-14 23:25,C,m, 241.117972,    -3.749041,
 2022-Jan-14 23:30,C,m, 240.376604,    -4.649798,
 2022-Jan-14 23:35,C,m, 239.626241,    -5.543918,
 2022-Jan-14 23:40,N,m, 238.866548,    -6.431166,
 2022-Jan-14 23:45,N,m, 238.097190,    -7.311299,
 2022-Jan-14 23:50,N,m, 237.317831,    -8.184065,
 2022-Jan-14 23:55,N,m, 236.528132,    -9.049204,
 2022-Jan-15 00:00,N,m, 235.727756,    -9.906451,
 2022-Jan-15 00:05,N,m, 234.916365,   -10.755527,
 2022-Jan-15 00:10,N,m, 234.093622,   -11.596150,
 2022-Jan-15 00:15,A,m, 233.259191,   -12.428025,
 2022-Jan-15 00:20,A,m, 232.412736,   -13.250849,
 2022-Jan-15 00:25,A,m, 231.553925,   -14.064310,
 2022-Jan-15 00:30,A,m, 230.682430,   -14.868087,
 2022-Jan-15 00:35,A,m, 229.797926,   -15.661849,
 2022-Jan-15 00:40,A,m, 228.900092,   -16.445255,
 2022-Jan-15 00:45,A,m, 227.988616,   -17.217954,
 2022-Jan-15 00:50,A,m, 227.063191,   -17.979587,
 2022-Jan-15 00:55, ,m, 226.123521,   -18.729784,
 2022-Jan-15 01:00, ,m, 225.169319,   -19.468164,
 2022-Jan-15 01:05, ,m, 224.200311,   -20.194338,
 2022-Jan-15 01:10, ,m, 223.216236,   -20.907909,
 2022-Jan-15 01:15, ,m, 222.216848,   -21.608467,
 2022-Jan-15 01:20, ,m, 221.201920,   -22.295595,
 2022-Jan-15 01:25, ,m, 220.171245,   -22.968868,
 2022-Jan-15 01:30, ,m, 219.124636,   -23.627852,
 2022-Jan-15 01:35, ,m, 218.061931,   -24.272104,
 2022-Jan-15 01:40, ,m, 216.982995,   -24.901177,
 2022-Jan-15 01:45, ,m, 215.887721,   -25.514614,
 2022-Jan-15 01:50, ,m, 214.776034,   -26.111954,
 2022-Jan-15 01:55, ,m, 213.647895,   -26.692731,
 2022-Jan-15 02:00, ,m, 212.503298,   -27.256476,
 2022-Jan-15 02:05, ,m, 211.342279,   -27.802714,
 2022-Jan-15 02:10, ,m, 210.164915,   -28.330972,
 2022-Jan-15 02:15, ,m, 208.971329,   -28.840774,
 2022-Jan-15 02:20, ,m, 207.761687,   -29.331648,
 2022-Jan-15 02:25, ,m, 206.536208,   -29.803120,
 2022-Jan-15 02:30, ,m, 205.295161,   -30.254725,
 2022-Jan-15 02:35, ,m, 204.038865,   -30.686001,
 2022-Jan-15 02:40, ,m, 202.767698,   -31.096495,
 2022-Jan-15 02:45, ,m, 201.482090,   -31.485761,
 2022-Jan-15 02:50, ,m, 200.182529,   -31.853369,
 2022-Jan-15 02:55, ,m, 198.869560,   -32.198897,
 2022-Jan-15 03:00, ,m, 197.543784,   -32.521943,
 2022-Jan-15 03:05, ,m, 196.205861,   -32.822121,
 2022-Jan-15 03:10, ,m, 194.856502,   -33.099063,
 2022-Jan-15 03:15, ,m, 193.496476,   -33.352424,
 2022-Jan-15 03:20, ,m, 192.126602,   -33.581883,
 2022-Jan-15 03:25, ,m, 190.747748,   -33.787144,
 2022-Jan-15 03:30, ,m, 189.360827,   -33.967936,
 2022-Jan-15 03:35, ,m, 187.966796,   -34.124020,
 2022-Jan-15 03:40, ,m, 186.566650,   -34.255186,
 2022-Jan-15 03:45, ,m, 185.161414,   -34.361256,
 2022-Jan-15 03:50, ,m, 183.752143,   -34.442083,
 2022-Jan-15 03:55, ,m, 182.339916,   -34.497557,
 2022-Jan-15 04:00, ,m, 180.925826,   -34.527600,
 2022-Jan-15 04:05, ,m, 179.510976,   -34.532171,
 2022-Jan-15 04:10, ,m, 178.096476,   -34.511263,
 2022-Jan-15 04:15, ,m, 176.683432,   -34.464906,
 2022-Jan-15 04:20, ,m, 175.272941,   -34.393163,
 2022-Jan-15 04:25, ,m, 173.866089,   -34.296134,
 2022-Jan-15 04:30, ,m, 172.463938,   -34.173952,
 2022-Jan-15 04:35, ,m, 171.067526,   -34.026784,
 2022-Jan-15 04:40, ,m, 169.677860,   -33.854828,
 2022-Jan-15 04:45, ,m, 168.295909,   -33.658315,
 2022-Jan-15 04:50, ,m, 166.922603,   -33.437503,
 2022-Jan-15 04:55, ,m, 165.558828,   -33.192678,
 2022-Jan-15 05:00, ,m, 164.205419,   -32.924155,
 2022-Jan-15 05:05, ,m, 162.863164,   -32.632269,
 2022-Jan-15 05:10, ,m, 161.532795,   -32.317380,
 2022-Jan-15 05:15, ,m, 160.214991,   -31.979867,
 2022-Jan-15 05:20, ,m, 158.910373,   -31.620128,
 2022-Jan-15 05:25, ,m, 157.619506,   -31.238577,
 2022-Jan-15 05:30, ,m, 156.342899,   -30.835643,
 2022-Jan-15 05:35, ,m, 155.081003,   -30.411764,
 2022-Jan-15 05:40, ,m, 153.834213,   -29.967392,
 2022-Jan-15 05:45, ,m, 152.602871,   -29.502986,
 2022-Jan-15 05:50, ,m, 151.387262,   -29.019010,
 2022-Jan-15 05:55, ,m, 150.187623,   -28.515935,
 2022-Jan-15 06:00, ,m, 149.004139,   -27.994234,
 2022-Jan-15 06:05, ,m, 147.836948,   -27.454381,
 2022-Jan-15 06:10, ,m, 146.686143,   -26.896852,
 2022-Jan-15 06:15, ,m, 145.551774,   -26.322120,
 2022-Jan-15 06:20, ,m, 144.433849,   -25.730656,
 2022-Jan-15 06:25, ,m, 143.332342,   -25.122928,
 2022-Jan-15 06:30, ,m, 142.247189,   -24.499400,
 2022-Jan-15 06:35, ,m, 141.178294,   -23.860528,
 2022-Jan-15 06:40, , , 140.125532,   -23.206765,
 2022-Jan-15 06:45, , , 139.088750,   -22.538554,
 2022-Jan-15 06:50, , , 138.067770,   -21.856333,
 2022-Jan-15 06:55, , , 137.062391,   -21.160530,
 2022-Jan-15 07:00, , , 136.072393,   -20.451567,
 2022-Jan-15 07:05, , , 135.097535,   -19.729853,
 2022-Jan-15 07:10, , , 134.137563,   -18.995792,
 2022-Jan-15 07:15, , , 133.192205,   -18.249776,
 2022-Jan-15 07:20,A, , 132.261180,   -17.492189,
 2022-Jan-15 07:25,A, , 131.344193,   -16.723404,
 2022-Jan-15 07:30,A, , 130.440941,   -15.943784,
 2022-Jan-15 07:35,A, , 129.551113,   -15.153685,
 2022-Jan-15 07:40,A, , 128.674392,   -14.353450,
 2022-Jan-15 07:45,A, , 127.810452,   -13.543413,
 2022-Jan-15 07:50,A, , 126.958967,   -12.723900,
 2022-Jan-15 07:55,N, , 126.119604,   -11.895226,
 2022-Jan-15 08:00,N, , 125.292029,   -11.057698,
 2022-Jan-15 08:05,N, , 124.475905,   -10.211613,
 2022-Jan-15 08:10,N, , 123.670896,    -9.357257,
 2022-Jan-15 08:15,N, , 122.876661,    -8.494912,
 2022-Jan-15 08:20,N, , 122.092864,    -7.624847,
 2022-Jan-15 08:25,N, , 121.319166,    -6.747325,
 2022-Jan-15 08:30,C, , 120.555228,    -5.862600,
 2022-Jan-15 08:35,C, , 119.800715,    -4.970917,
 2022-Jan-15 08:40,C, , 119.055290,    -4.072517,
 2022-Jan-15 08:45,C, , 118.318620,    -3.167629,
 2022-Jan-15 08:50,C, , 117.590371,    -2.256479,
 2022-Jan-15 08:55,C, , 116.870212,    -1.339282,
 2022-Jan-15 09:00,*,r, 116.157813,    -0.416250,
 2022-Jan-15 09:05,*, , 115.452846,     0.512414,
 2022-Jan-15 09:10,*, , 114.754984,     1.446513,
 2022-Jan-15 09:15,*, , 114.063900,     2.385853,
 2022-Jan-15 09:20,*, , 113.379272,     3.330250,
 2022-Jan-15 09:25,*, , 112.700774,     4.279522,
 2022-Jan-15 09:30,*, , 112.028084,     5.233495,
 2022-Jan-15 09:35,*, , 111.360880,     6.191998,
 2022-Jan-15 09:40,*, , 110.698840,     7.154865,
 2022-Jan-15 09:45,*, , 110.041641,     8.121935,
 2022-Jan-15 09:50,*, , 109.388960,     9.093052,
 2022-Jan-15 09:55,*, , 108.740473,    10.068063,
 2022-Jan-15 10:00,*, , 108.095855,    11.046820,
 2022-Jan-15 10:05,*, , 107.454779,    12.029176,
 2022-Jan-15 10:10,*, , 106.816915,    13.014991,
 2022-Jan-15 10:15,*, , 106.181931,    14.004126,
 2022-Jan-15 10:20,*, , 105.549490,    14.996446,
 2022-Jan-15 10:25,*, , 104.919253,    15.991817,
 2022-Jan-15 10:30,*, , 104.290874,    16.990109,
 2022-Jan-15 10:35,*, , 103.664002,    17.991195,
 2022-Jan-15 10:40,*, , 103.038280,    18.994949,
 2022-Jan-15 10:45,*, , 102.413343,    20.001247,
 2022-Jan-15 10:50,*, , 101.788817,    21.009967,
 2022-Jan-15 10:55,*, , 101.164321,    22.020987,
 2022-Jan-15 11:00,*, , 100.539460,    23.034189,
 2022-Jan-15 11:05,*, ,  99.913830,    24.049453,
 2022-Jan-15 11:10,*, ,  99.287015,    25.066662,
 2022-Jan-15 11:15,*, ,  98.658580,    26.085697,
 2022-Jan-15 11:20,*, ,  98.028078,    27.106441,
 2022-Jan-15 11:25,*, ,  97.395044,    28.128776,
 2022-Jan-15 11:30,*, ,  96.758992,    29.152585,
 2022-Jan-15 11:35,*, ,  96.119414,    30.177747,
 2022-Jan-15 11:40,*, ,  95.475782,    31.204143,
 2022-Jan-15 11:45,*, ,  94.827537,    32.231650,
 2022-Jan-15 11:50,*, ,  94.174095,    33.260146,
 2022-Jan-15 11:55,*, ,  93.514838,    34.289503,
 2022-Jan-15 12:00,*, ,  92.849114,    35.319592,
 2022-Jan-15 12:05,*, ,  92.176233,    36.350282,
 2022-Jan-15 12:10,*, ,  91.495461,    37.381435,
 2022-Jan-15 12:15,*, ,  90.806019,    38.412911,
 2022-Jan-15 12:20,*, ,  90.107075,    39.444563,
 2022-Jan-15 12:25,*, ,  89.397741,    40.476239,
 2022-Jan-15 12:30,*, ,  88.677065,    41.507779,
 2022-Jan-15 12:35,*, ,  87.944025,    42.539016,
 2022-Jan-15 12:40,*, ,  87.197522,    43.569775,
 2022-Jan-15 12:45,*, ,  86.436372,    44.599870,
 2022-Jan-15 12:50,*, ,  85.659295,    45.629102,
 2022-Jan-15 12:55,*, ,  84.864904,    46.657261,
 2022-Jan-15 13:00,*, ,  84.051698,    47.684123,
 2022-Jan-15 13:05,*, ,  83.218039,    48.709446,
 2022-Jan-15 13:10,*, ,  82.362149,    49.732969,
 2022-Jan-15 13:15,*, ,  81.482081,    50.754412,
 2022-Jan-15 13:20,*, ,  80.575707,    51.773469,
 2022-Jan-15 13:25,*, ,  79.640696,    52.789807,
 2022-Jan-15 13:30,*, ,  78.674485,    53.803062,
 2022-Jan-15 13:35,*, ,  77.674253,    54.812834,
 2022-Jan-15 13:40,*, ,  76.636891,    55.818684,
 2022-Jan-15 13:45,*, ,  75.558962,    56.820126,
 2022-Jan-15 13:50,*, ,  74.436663,    57.816620,
 2022-Jan-15 13:55,*, ,  73.265781,    58.807566,
 2022-Jan-15 14:00,*, ,  72.041636,    59.792294,
 2022-Jan-15 14:05,*, ,  70.759027,    60.770053,
 2022-Jan-15 14:10,*, ,  69.412168,    61.739999,
 2022-Jan-15 14:15,*, ,  67.994616,    62.701181,
 2022-Jan-15 14:20,*, ,  66.499195,    63.652522,
 2022-Jan-15 14:25,*, ,  64.917917,    64.592801,
 2022-Jan-15 14:30,*, ,  63.241895,    65.520632,
 2022-Jan-15 14:35,*, ,  61.461265,    66.434433,
 2022-Jan-15 14:40,*, ,  59.565106,    67.332399,
 2022-Jan-15 14:45,*, ,  57.541391,    68.212465,
 2022-Jan-15 14:50,*, ,  55.376957,    69.072269,
 2022-Jan-15 14:55,*, ,  53.057539,    69.909109,
 2022-Jan-15 15:00,*, ,  50.567883,    70.719898,
 2022-Jan-15 15:05,*, ,  47.891986,    71.501114,
 2022-Jan-15 15:10,*, ,  45.013511,    72.248763,
 2022-Jan-15 15:15,*, ,  41.916442,    72.958339,
 2022-Jan-15 15:20,*, ,  38.586043,    73.624812,
 2022-Jan-15 15:25,*, ,  35.010176,    74.242634,
 2022-Jan-15 15:30,*, ,  31.181002,    74.805799,
 2022-Jan-15 15:35,*, ,  27.097024,    75.307956,
 2022-Jan-15 15:40,*, ,  22.765287,    75.742602,
 2022-Jan-15 15:45,*, ,  18.203444,    76.103350,
 2022-Jan-15 15:50,*, ,  13.441206,    76.384286,
 2022-Jan-15 15:55,*, ,   8.520642,    76.580363,
 2022-Jan-15 16:00,*, ,   3.494877,    76.687810,
 2022-Jan-15 16:05,*,t, 358.425045,    76.704465,
 2022-Jan-15 16:10,*, , 353.375790,    76.629985,
